timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:33:31.215,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:33:31.713,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:33:32.226,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:32.709,8,138,34.0,64.0,00 20 8A 00 22 00 40 E0
2026-02-17 20:33:33.211,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:33.714,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:34.215,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:34.717,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:35.221,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:35.719,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:33:36.251,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:36.754,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:37.241,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:37.744,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:33:38.247,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:33:38.749,8,138,34.0,1.0,00 22 8A 00 22 00 01 81
2026-02-17 20:33:39.250,6,49,,,00 20 31 23 01 81
2026-02-17 20:33:39.750,8,138,40.0,1.0,00 20 8A 00 28 00 01 81
2026-02-17 20:33:40.250,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:40.757,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:33:41.244,8,138,31.0,1.0,00 20 8A 00 1F 00 01 81
2026-02-17 20:33:41.751,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:33:42.258,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:42.747,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:33:43.267,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:43.756,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:33:44.255,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:44.754,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:45.258,8,138,29.0,1.0,00 20 8A 00 1D 00 01 81
2026-02-17 20:33:45.749,8,138,30.0,1.0,00 20 8A 00 1E 00 01 81
2026-02-17 20:33:46.250,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:46.767,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:47.255,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:33:47.752,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:48.250,8,138,37.0,2.0,00 20 8A 00 25 00 02 81
2026-02-17 20:33:48.768,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:33:49.266,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:49.754,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:33:50.273,8,138,34.0,2.0,00 20 8A 00 22 00 02 81
2026-02-17 20:33:50.763,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:51.266,8,138,39.0,1.0,00 20 8A 00 27 00 01 81
2026-02-17 20:33:51.752,8,138,35.0,2.0,00 20 8A 00 23 00 02 81
2026-02-17 20:33:52.273,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:52.762,8,138,35.0,2.0,00 20 8A 00 23 00 02 79
2026-02-17 20:33:53.265,8,138,34.0,1.0,00 20 8A 00 22 00 01 82
2026-02-17 20:33:53.765,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:33:54.268,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:54.769,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:33:55.267,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:55.766,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:33:56.268,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:33:56.771,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:57.275,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:57.766,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:58.270,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:58.774,8,138,32.0,1.0,00 20 8A 00 20 00 01 81
2026-02-17 20:33:59.280,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
